Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,ICE,ICE_pred,Erro
2014,7,0.0012522278444796996,0.0015122432194044134,0.003497361922219145,-0.0016589720390111716,89.7747396909347,87.79226984335203,1.8992431322859022
2014,9,0.004811547420950744,0.0016465193248729817,0.004080045475330136,-0.002062110884787978,88.57145275212925,89.15718442464328,0.4847697123836844
2014,10,0.004843768007245926,0.0048309672376125245,0.004763656083158705,-0.0024830726907477158,87.58891730858181,88.13788212482767,0.35929280676286585
2014,11,0.004854868606217017,0.004892108836694268,0.004769336394846506,-0.0029166997032523483,86.54883785416087,86.92093967780097,0.3867419507015641
2014,12,0.005066839285868175,0.004834486684562835,0.003686977058286231,-0.0029762387057295754,85.22210216892407,86.40542766161303,0.4053235122451108
2015,1,0.004891886710459422,0.001575814734383522,0.003192984603520535,-0.0025124598090391984,83.35936434886369,84.72483661222594,0.8154775255096459
2015,2,0.0014907269078219057,0.0015311218207516642,0.0025170416764066124,-0.0021173859101477352,81.15740800844642,80.63979379643267,1.0257704876693066
2015,3,0.0014923238300421624,0.0014961257022272996,0.0015515664303893148,-0.0017326883065733572,79.01169625054163,78.7491954917121,0.5106619551921509
2015,4,0.001446025839977606,0.0014652922134163959,0.0015385397093224992,-0.0012799066980863265,76.92869128860997,76.09574608285628,0.9643285558662814
2015,5,0.001413870371959631,0.0014480470964950145,0.0015252972682611074,-0.001101090348295091,75.02981820727796,76.40671050518212,1.0810745196740315
2015,6,0.0014065513616120728,0.0014491898812027714,0.0015251825723575356,-0.0010868824147266538,73.47158550527463,74.75548554243072,1.0461303024975337
2015,7,0.0014060061829952268,0.001460538726182439,0.0015271910653160054,-0.0010672319035874905,71.98070451650288,74.40241926724029,1.5120388836106944
2015,8,0.0014103045544636471,0.0014728111659850656,0.0015315286317313158,-0.0010572261401723057,70.74024124314327,72.99126588271744,1.8556764672530544
2015,9,0.0014156694845392254,0.0014835852891421125,0.0015382575075451334,-0.0010577349382992702,69.85812273887532,70.9921373592506,0.6040824147991445
2015,10,0.001425033111466508,0.0014983649343289535,0.001551108753592449,-0.0010635243164515517,69.36695997087357,70.34924525162818,0.48350008176970377
2015,11,0.00143563995568045,0.0015097003363909339,0.0015656604177957515,-0.001079472321952324,69.30779021115119,70.7344637242554,1.493778160753816
2015,12,0.0014378757766319692,0.0015060081280869964,0.0015685258343860957,-0.0010969255958007264,69.49802672493445,70.64008985562062,1.5186675234538225
2016,1,0.001432254898918163,0.0014904485734794238,0.0015593644444560886,-0.0011076481368167256,69.72596761533507,70.60972764633608,1.2598447299237283
2016,2,0.0014221606166926876,0.0014689212218637973,0.001542881728465454,-0.001106494253851482,70.08643182774681,70.537216069132,0.5736154672073097
2016,3,0.0014079442607373713,0.0014468716927029132,0.0015213476914136346,-0.0010931705672499697,70.84938585107307,71.4156488046731,0.39918203145794173
2016,4,0.0013957985238243176,0.0014270869167654632,0.0014997824522122347,-0.0010753799141768946,72.14426853684384,73.69865212169377,1.3944375011706034
2016,5,0.0013842225786431155,0.0014100664394801161,0.0014764972022095803,-0.0010484547326201344,73.96376178137344,76.26883920290877,1.2929331257033192
2016,6,0.0013778859742566063,0.0014047513748724392,0.0014607554448635759,-0.001012750007618817,76.10066693086115,77.5587443500598,1.8377314532675006
