Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,EPU,EPU_pred,Erro
2014,5,0.0012746957900391933,0.0013484832480448066,0.00210286788744829,-0.0009048450798223872,140.45156380277268,150.64399683223735,7.225820758065864
2014,6,0.0012499934699209225,0.0014063428787868875,0.0029350257723038215,-0.0011074729101383102,135.44538302504137,151.52131792292423,10.788572099909597
2014,7,0.0012522278444796996,0.0015122432194044134,0.003497361922219145,-0.0016589720390111716,133.67227894670572,180.4721115220127,24.70417512968016
2014,9,0.004811547420950744,0.0016465193248729817,0.004080045475330136,-0.002062110884787978,140.81296689112565,167.1457266225974,11.6332984365152
2014,10,0.004843768007245926,0.0048309672376125245,0.004763656083158705,-0.0024830726907477158,153.4215827131614,173.60029604417545,5.051363510345258
2014,11,0.004854868606217017,0.004892108836694268,0.004769336394846506,-0.0029166997032523483,163.93541156556736,174.63614251361275,5.783246735780251
2014,12,0.005066839285868175,0.004834486684562835,0.003686977058286231,-0.0029762387057295754,186.09700391409066,186.29913527582877,4.616396994319629
2015,1,0.004891886710459422,0.001575814734383522,0.003192984603520535,-0.0025124598090391984,218.43149306789715,214.76901149117242,6.517872631048663
2015,2,0.0014907269078219057,0.0015311218207516642,0.0025170416764066124,-0.0021173859101477352,232.74140797242416,236.71767153741192,5.4062680193983255
2015,3,0.0014923238300421624,0.0014961257022272996,0.0015515664303893148,-0.0017326883065733572,228.84824769198622,249.57436145360387,8.60667881946323
2015,4,0.001446025839977606,0.0014652922134163959,0.0015385397093224992,-0.0012799066980863265,212.59684722876418,220.06590069527246,3.7693345981777777
2015,5,0.001413870371959631,0.0014480470964950145,0.0015252972682611074,-0.001101090348295091,193.5304267283046,205.23838961286162,11.143810482778141
2015,6,0.0014065513616120728,0.0014491898812027714,0.0015251825723575356,-0.0010868824147266538,187.39578512923364,199.16367606725404,8.567758892924358
2015,7,0.0014060061829952268,0.001460538726182439,0.0015271910653160054,-0.0010672319035874905,206.11802746411303,205.19472376466484,5.257171196049296
2015,8,0.0014103045544636471,0.0014728111659850656,0.0015315286317313158,-0.0010572261401723057,231.91597302319113,226.58685096638607,4.097709380797898
2015,9,0.0014156694845392254,0.0014835852891421125,0.0015382575075451334,-0.0010577349382992702,255.75100420399409,244.83345392129812,3.9860794859907793
2015,10,0.001425033111466508,0.0014983649343289535,0.001551108753592449,-0.0010635243164515517,278.09285024792035,266.8185613744133,5.337468585805051
2015,11,0.00143563995568045,0.0015097003363909339,0.0015656604177957515,-0.001079472321952324,287.5727052421836,285.58537508649437,5.738308310421523
2015,12,0.0014378757766319692,0.0015060081280869964,0.0015685258343860957,-0.0010969255958007264,289.58595894452793,290.0381543916924,5.379803196123571
2016,1,0.001432254898918163,0.0014904485734794238,0.0015593644444560886,-0.0011076481368167256,307.41075588604764,297.6321090293561,8.955520784751654
2016,2,0.0014221606166926876,0.0014689212218637973,0.001542881728465454,-0.001106494253851482,326.54946217458286,308.66389388666454,4.526409641453474
2016,3,0.0014079442607373713,0.0014468716927029132,0.0015213476914136346,-0.0010931705672499697,316.6504289190948,299.81425821647304,11.976336608130344
2016,4,0.0013957985238243176,0.0014270869167654632,0.0014997824522122347,-0.0010753799141768946,314.71466221305576,301.71621292263154,10.755178176539767
2016,5,0.0013842225786431155,0.0014100664394801161,0.0014764972022095803,-0.0010484547326201344,318.19696722561713,304.64039805900865,8.444755084779745
2016,6,0.0013778859742566063,0.0014047513748724392,0.0014607554448635759,-0.001012750007618817,298.5506209749696,292.6083177817539,13.661129742055902
2016,7,0.0013796664850084916,0.0014126446142713417,0.0014572636472237536,-0.0009832209397264333,278.9254607464776,282.70085932200556,5.497942801337206
2016,8,0.0013802684664266105,0.00141988886017484,0.0014542006169444188,-0.000957697909189469,275.84891739096423,283.0908320134642,2.178758051305271
2016,9,0.0013743421834728326,0.0014215802526035448,0.0014466532916574057,-0.000932037370902359,292.2764837310702,294.7272166597966,0.9525753962884171
2016,10,0.0013614975543983375,0.0014133891777639823,0.0014309777195945983,-0.000907006855570334,311.7991837083037,292.16385685114153,8.380399208907363
2016,11,0.0013426699571352262,0.001396141830509709,0.001409693897371792,-0.0008865671219859163,330.8552290365603,278.2104427985389,13.060216125898966
2016,12,0.0013250880633969234,0.0013784649416479047,0.0013906348411525167,-0.0008732184230805506,356.3223194245797,306.8614277933127,19.154659097593072
2017,1,0.0013129088517360478,0.0013636549410421068,0.0013759145253317917,-0.0008597089472432127,370.12418300268575,335.9010082416457,12.134634482914414
2017,2,0.0013093320499943078,0.0013607832815502614,0.0013671145963429858,-0.0008320953229976819,380.31192649334474,349.1864054792947,19.158940904589688
2017,3,0.0013138331395810068,0.0013746812419641013,0.0013667244420185022,-0.0007984893684103383,380.15479804293903,367.1748721487083,14.084564440462962
2017,4,0.0013237628910993454,0.0013935531107980735,0.0013745947850722635,-0.0007828291357591619,366.63057194807834,354.89328317617986,15.736757687974164
2017,5,0.0013389101192837144,0.0014161454341045084,0.0013919744848993425,-0.0007828433379625196,360.93308541570775,317.05613299692317,16.565372166903416
2017,6,0.001353422431333571,0.001433930250146671,0.001411740681473791,-0.000794343066355841,338.97715301419896,321.0518110181381,8.144361056440761
2017,7,0.0013599854433741184,0.0014410806307452826,0.001423591091300728,-0.0008131816733973695,310.2898352297349,299.4039878568407,3.5460215373863324
2017,8,0.0013588706876674192,0.0014385660552890009,0.0014274749646147147,-0.0008407709656685602,285.97525880240096,284.1038564090427,2.7937897429960055
2017,9,0.001353038103889581,0.0014323243691243825,0.0014193191071027464,-0.0008433315967445893,274.84052108928637,268.37789734073544,2.1727902696002537
2017,10,0.0013489912083012223,0.0014323116713632652,0.0014010273358100727,-0.0007999592652465867,261.6501918307573,261.3173155630227,4.072346003426701
2017,11,0.0013459159442698496,0.0014341261437092496,0.0013774677560810327,-0.0007439070301878681,233.38035509533663,239.94373682643715,4.254779090168638
2017,12,0.001342120838325159,0.0014328998005349069,0.001353798172446525,-0.0006965893240612803,196.8344621695172,208.65051477164423,6.4797532781634875
2018,1,0.0013388164554056154,0.0014272397327658912,0.0013339496930985465,-0.0006610506057333933,166.81903242847824,187.76584344684315,10.028860636304787
2018,2,0.0013358829943846393,0.0014128176474949349,0.0013208498878348987,-0.0006507908795641913,145.92219285969418,161.66517563800284,9.316693113501922
2018,3,0.0013357278215203367,0.001393127967675646,0.0013194493846215524,-0.0006801647271551279,135.93610532777652,165.044892266123,20.0491631512438
2018,4,0.0013420287970369769,0.0013762177486976053,0.0013322278559419797,-0.0007516554194448771,138.4667530326458,158.91828775697647,11.534742956137327
2018,5,0.001348518170138504,0.001361164828685673,0.001344422550758258,-0.0008174520360627198,151.33519831930604,159.6435949161465,7.305196452587068
2018,6,0.0013532722586686026,0.0013512591759479303,0.0013536230696997525,-0.0008653511272824697,158.0476014771244,159.6495183316808,3.3337907153045863
2018,7,0.0013635132535284463,0.0013572562142872243,0.001367548169789517,-0.0008971035189310397,158.77557000870996,164.84009028169115,8.749317414704906
2018,8,0.0013769799167182445,0.0013763656807413553,0.0013787669844404905,-0.0008947619305938922,165.21403135762174,191.76207774171635,16.127431569594307
2018,9,0.0013868537284166778,0.001393423258846735,0.001379329803707183,-0.0008632485228969672,175.41143962933958,191.6896960855692,7.364466021774174
2018,10,0.0013877815040766418,0.0014013521483265065,0.0013704831357324251,-0.0008207336027711739,186.50344733167404,199.39818903062934,8.35882243163831
2018,11,0.0013847012723646039,0.001410095014932495,0.0013613064148946118,-0.000773828988959642,190.97031080962162,197.38717698807673,6.149040326660842
2018,12,0.0013880478735208731,0.0014334972254074364,0.0013615078490003727,-0.0007220915917176717,188.4054593468784,196.92623700220875,1.5732358479154864
2019,1,0.001393194115128552,0.001464345774631302,0.0013599453477900875,-0.0006523577336246114,177.9747070670961,178.9987989613889,4.338103529083714
2019,2,0.0013938789223972886,0.0014862420038144876,0.0013558637879665524,-0.0005920506603029565,167.71122528504912,170.41749132008712,1.3310250901799787
2019,3,0.0013972911413507063,0.0015069399427355497,0.0013596775233925844,-0.0005581044773239843,161.22115383636736,165.39700281452517,0.538251496915793
2019,4,0.0014049323557910143,0.0015323802690594371,0.0013687967517549628,-0.0005327319917543819,158.92921138350107,158.46450446733488,0.34232843636925564
2019,5,0.0014147729442613051,0.001553115313942145,0.0013767983262031463,-0.0005151842068288219,152.9561541017486,155.10275209105873,1.81879757464474
